"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","dec"
24,18621,16,-634,-19,46,1,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,2,1,0,0,"T"
9,114387,7,0,0,16,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,3,1,1,0,"F"
14,111786,9,0,8,40,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,3,0,1,0,"F"
20,68972,13,0,-11,30,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,1,1,0,"F"
20,128169,13,0,-9,40,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
29,39434,9,0,6,35,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,1,0,0,"T"
29,47442,13,0,13,50,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,1,0,0,"F"
20,148073,9,0,-2,45,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,0,0,0,"F"
10,37084,10,0,-7,30,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,3,1,0,0,"F"
25,65398,13,0,22,40,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"F"
32,32608,7,0,-13,40,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,2,1,1,0,"F"
24,57100,9,0,-11,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,0,0,0,"F"
10,36229,10,0,-4,40,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,3,1,0,0,"F"
22,38117,9,0,-16,35,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,1,1,0,"F"
23,78549,9,0,6,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"T"
12,111168,9,0,-18,40,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,3,1,1,0,"F"
18,36999,14,0,0,40,0,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,1,0,0,0,"F"
24,35744,16,0,3,35,0,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,2,1,1,0,"T"
12,69678,12,0,-15,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,"F"
17,100923,10,0,-15,60,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
12,60113,12,0,-16,65,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,"F"
22,23111,13,0,10,50,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
12,70260,13,0,19,40,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,1,0,0,"F"
12,102548,9,0,-5,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
34,36065,5,998,-5,40,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,1,1,0,"F"
16,49072,8,0,7,21,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,1,1,0,0,"F"
17,9127,13,0,0,50,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
10,19983,5,38,-19,20,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,"F"
33,55904,9,0,-2,40,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,1,0,0,"T"
12,60706,12,0,-18,60,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,1,0,"F"
16,35479,9,0,-18,40,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,1,1,0,0,"F"
14,29473,9,0,4,40,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,"F"
28,27732,9,0,-2,50,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
24,83195,10,0,12,30,0,0,0,1,0,0,0,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
26,65213,9,0,18,45,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,1,0,0,"F"
26,33811,9,0,-5,50,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
10,10267,6,0,-1,40,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,"F"
29,36733,4,0,-5,40,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,1,1,0,"F"
12,102172,9,0,-18,40,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,"F"
11,70559,9,0,0,40,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,3,1,1,0,"F"
10,19099,10,0,1,15,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,3,1,0,0,"F"
21,9987,13,0,-3,48,0,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"F"
16,76119,11,0,9,40,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,1,0,1,1,0,0,"F"
12,64699,13,0,2,40,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,3,1,0,0,"F"
20,107930,9,0,36,55,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,1,1,1,0,"F"
10,89464,9,0,-26,30,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,0,0,"F"
10,9144,7,0,13,40,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,1,1,0,"F"
21,82825,10,0,6,65,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,1,1,0,"T"
24,80797,15,5008,1,40,0,0,0,1,0,0,0,0,0,15,0,0,0,1,0,0,0,2,1,1,0,"T"
12,65796,9,0,-21,40,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,3,1,1,0,"F"
30,17057,9,0,-5,55,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
26,40703,9,-108,1,40,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,1,0,0,"F"
12,86918,13,0,7,40,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1,0,"F"
12,86872,6,0,7,40,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,1,1,0,"F"
22,36315,10,0,-4,38,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,1,0,0,"F"
14,66275,9,0,6,38,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,1,0,0,"F"
15,61676,13,0,0,40,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
18,93917,10,0,-28,30,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,1,0,0,"F"
10,22643,10,0,6,50,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,3,1,1,0,"F"
14,40120,9,0,-1,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
18,41978,13,0,-10,50,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
10,63474,10,0,-6,20,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,0,0,"F"
22,62812,15,0,7,40,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,0,0,1,1,0,"F"
24,65901,10,0,-43,40,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
26,66873,13,0,30,40,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"F"
32,57635,9,0,6,40,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,1,1,0,0,"F"
27,29340,10,0,-32,55,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,1,1,0,"F"
26,72310,4,0,-13,38,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,2,1,1,0,"F"
14,56300,13,0,-17,40,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,0,1,0,"F"
28,59548,5,0,-35,55,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,2,1,1,0,"F"
11,58477,9,0,1,20,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
18,54955,6,0,23,99,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,1,0,"F"
14,64863,12,0,-27,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,"F"
23,33029,10,0,9,40,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,2,1,0,0,"T"
20,76550,13,0,3,50,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
17,88602,9,-684,13,55,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
18,39976,9,0,1,40,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
23,84372,13,0,-6,40,0,0,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,"F"
18,82150,9,1108,28,50,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,1,1,0,"F"
19,26768,10,0,-12,60,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"T"
18,62273,12,0,-13,52,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,"T"
14,12284,13,0,11,41,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,1,1,0,"F"
13,58307,13,0,0,40,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,1,0,0,"F"
10,101534,11,0,-14,98,0,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,3,1,1,0,"F"
28,63583,10,0,39,35,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0,1,1,0,0,"F"
20,41638,9,0,-7,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
14,134999,11,0,-12,40,0,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,3,1,1,0,"F"
17,118567,9,0,-10,20,1,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,1,0,0,"F"
22,41820,13,0,0,65,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
16,39009,9,0,17,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
16,69228,9,0,4,34,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,0,0,"F"
14,113891,10,0,-13,40,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,1,0,"F"
10,83546,10,0,15,24,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,3,1,1,0,"F"
20,60011,14,-556,16,40,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,0,1,0,0,"F"
14,50099,12,0,20,80,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"F"
23,134637,11,0,0,40,0,0,0,0,0,0,1,0,0,16,0,0,0,1,0,0,0,2,0,1,0,"T"
12,11144,12,0,-3,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,"F"
20,43587,13,0,-3,24,0,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"F"
23,34103,15,5008,7,50,0,1,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,2,1,1,0,"T"
15,37138,13,0,-2,45,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
19,71972,10,0,-4,40,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,2,0,1,0,"F"
24,110785,14,5008,-20,50,0,0,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,2,1,1,0,"T"
13,19346,10,0,0,40,1,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
18,36904,9,0,16,50,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"T"
26,69434,9,0,-13,60,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
17,26546,13,0,19,40,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,3,0,0,0,"F"
21,15121,12,0,-10,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,"F"
9,18871,10,0,1,20,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,3,1,0,0,"F"
26,38617,9,0,21,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
22,59462,14,0,-2,48,0,0,0,0,0,0,1,0,0,12,0,0,0,1,0,0,0,2,0,1,0,"F"
14,71140,15,0,1,50,0,0,0,0,0,0,1,0,0,15,1,0,0,0,0,0,0,0,1,1,0,"F"
21,31257,9,0,-8,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,0,0,"T"
9,132090,9,0,-9,25,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,3,1,1,0,"F"
24,15695,13,0,-7,40,0,0,0,1,0,0,0,0,0,11,0,0,1,0,0,0,0,1,1,0,0,"F"
28,10655,10,0,21,40,0,1,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
10,16040,9,0,2,40,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,3,1,1,0,"F"
19,22439,13,0,6,60,0,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"F"
34,220154,9,0,8,20,0,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,"F"
15,109037,13,-521,-19,40,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,1,1,0,"T"
11,74331,9,0,2,54,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,3,1,1,0,"F"
26,83892,10,2871,17,50,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,1,1,0,"T"
20,93523,13,1034,8,50,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
20,33757,9,0,-13,32,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,1,0,0,"F"
26,52204,8,0,5,40,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,1,0,0,"F"
16,8652,5,0,-17,35,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,3,0,1,0,"F"
14,46634,9,0,-15,30,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,0,0,"F"
22,12076,13,1462,0,35,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
17,33782,13,0,-13,40,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,0,0,"T"
22,26510,9,0,-29,45,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
12,113108,13,0,-21,40,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,1,1,0,"F"
19,80666,8,2563,6,40,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,2,1,1,0,"T"
20,10227,9,0,20,45,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"T"
12,66765,10,0,21,40,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,1,0,"F"
12,65871,10,0,-7,40,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,0,0,"F"
12,20162,10,0,-20,30,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,3,1,0,0,"F"
19,33078,15,0,-7,40,0,0,0,0,0,0,1,0,0,15,1,0,0,0,0,0,0,0,1,1,0,"T"
8,52921,6,0,0,20,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,3,1,0,0,"F"
12,97353,9,0,13,30,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,1,1,0,"F"
20,67690,9,0,10,40,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,0,0,1,1,0,"F"
25,89698,13,0,4,40,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,1,1,0,0,"T"
20,67522,12,0,-22,52,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,"F"
20,173529,10,0,18,39,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,1,1,0,0,"F"
12,88522,7,0,-11,35,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,3,1,1,0,"F"
21,53631,10,0,-7,23,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,2,1,0,0,"F"
30,63514,9,0,18,40,0,1,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"T"
32,74824,15,8375,-16,80,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0,1,1,0,"T"
19,94431,9,0,-4,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,0,1,0,"F"
22,68713,13,0,18,50,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
12,61984,14,0,10,30,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,0,1,1,0,"F"
18,117396,9,0,-20,40,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,1,1,0,"F"
24,72892,14,0,13,45,0,0,0,1,0,0,0,0,0,12,0,0,0,1,0,0,0,2,1,1,0,"F"
26,23924,16,0,-1,50,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,1,0,0,1,1,0,"F"
22,126464,10,0,20,45,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,1,0,0,"F"
24,38538,9,0,-40,50,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"T"
12,82577,9,0,-7,40,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,3,1,0,0,"F"
19,75872,2,0,-12,40,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,1,1,0,"F"
18,39636,9,0,12,35,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,"F"
24,26761,16,0,-15,45,1,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,2,1,1,0,"F"
26,73891,14,5008,-18,50,0,0,0,0,0,0,1,0,0,12,0,0,0,1,0,0,0,2,1,1,0,"T"
16,30655,10,0,-14,40,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,1,0,"F"
16,58997,6,0,7,40,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,1,1,0,"F"
20,36315,9,4781,-10,40,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,"T"
10,114964,10,0,6,20,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,3,0,1,0,"F"
21,117054,10,0,23,40,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,1,1,0,"F"
20,12125,10,0,-15,60,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
23,24514,6,0,17,40,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,1,1,0,"F"
14,66634,13,0,23,20,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,1,0,0,"F"
17,16490,13,33333,-9,50,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,1,1,0,"T"
14,84600,9,0,0,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
16,19694,9,0,4,35,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
32,11367,10,0,-11,4,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,1,1,0,"F"
9,63442,7,0,-29,30,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,3,1,1,0,"F"
26,64022,10,0,-7,40,0,1,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,1,0,0,"F"
22,34067,11,0,4,40,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,1,0,0,1,0,0,"F"
22,124350,9,0,-27,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
